Unnamed: 0,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsMean
287,36.0,No,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,4689.757785467128,23785,1,No,15,3.0,3,0,1,3.0,3,2.0,0
288,35.906122448979595,No,Non-Travel,1277,Sales,2,3,Life Sciences,3,Female,74,3,3,Sales Executive,4,Divorced,5093.0,5596,4,Yes,12,3.0,2,1,13,2.0,2,1.0,3
289,32.368,Yes,Travel_Rarely,1009,Research & Development,1,3,Medical,1,Male,45,2,1,Laboratory Technician,2,Divorced,2936.0,7160,1,No,15,3.0,1,2,1,4.0,3,6.0,0
290,43.0,No,Travel_Rarely,640,Research & Development,1,3,Technical Degree,4,Male,84,3,1,Research Scientist,1,Single,7510.0,4732,2,No,11,3.0,2,0,5,1.0,2,10.0,1.6666666666666667
291,39.0,No,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,4,Female,47,3,1,Laboratory Technician,4,Married,9474.52564102564,20251,0,No,11,4.0,3,1,16,2.0,3,19.0,11.333333333333334
292,56.0,No,Travel_Frequently,1082,Research & Development,9,4,Medical,4,Female,43,3,1,Laboratory Technician,3,Married,13212.0,25412,9,No,17,3.0,3,1,9,2.0,3,7.0,2
293,52.0,No,Travel_Rarely,530,Sales,29,1,Medical,1,Female,91,3,3,Manager,3,Married,6020.0,23978,3,No,21,3.0,2,1,15,2.0,1,5.0,0
294,50.0,No,Travel_Rarely,1091,Research & Development,2,1,Life Sciences,4,Male,65,3,3,Manufacturing Director,2,Married,10496.0,15813,3,No,18,3.0,2,1,23,2.0,3,4.0,1.6666666666666667
295,34.0,Yes,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,6274.0,26820,1,Yes,19,4.0,4,0,0,5.0,2,6.0,0
296,18.0,Yes,Non-Travel,827,Research & Development,29,4,Medical,1,Female,54,2,2,Research Scientist,3,Single,1514.0,3129,1,No,22,3.0,2,0,14,4.0,3,0.0,6
297,38.0,No,Travel_Frequently,1327,Research & Development,3,4,Medical,2,Male,73,3,3,Research Director,3,Divorced,2821.0,13523,9,No,12,3.0,1,1,9,2.0,3,2.0,2
298,34.0,Yes,Travel_Frequently,342,Research & Development,2,3,Life Sciences,1,Male,57,3,1,Research Scientist,1,Married,5343.0,15346,6,Yes,14,4.0,2,1,6,2.0,3,13.0,1.6666666666666667
299,35.0,No,Travel_Rarely,294,Research & Development,10,2,Life Sciences,4,Male,32,3,3,Manufacturing Director,1,Divorced,4581.0,4809,1,No,21,4.0,3,2,9,2.0,2,11.0,5
300,42.0,No,Travel_Rarely,1370,Research & Development,27,4,Life Sciences,4,Female,49,3,2,Manufacturing Director,3,Married,5231.0,5151,2,No,16,3.0,2,1,17,1.0,3,5.0,4.666666666666667
301,27.0,No,Travel_Rarely,492,Sales,16,4,Life Sciences,3,Male,96,3,2,Sales Executive,3,Divorced,6142.0,13693,8,No,14,4.0,3,1,18,0.0,3,6.0,7
302,20.0,No,Travel_Rarely,572,Sales,10,3,Medical,3,Male,46,3,2,Sales Executive,4,Single,1009.0,9125,1,No,13,3.0,1,0,5,5.0,3,1.0,2
303,46.0,No,Non-Travel,373,Research & Development,1,2,Life Sciences,4,Male,47,3,1,Research Scientist,3,Married,7991.0,16901,1,No,22,3.0,4,1,1,3.0,3,2.0,0.3333333333333333
304,37.0,Yes,Travel_Rarely,1356,Sales,20,2,Marketing,2,Female,70,3,1,Sales Representative,2,Single,6474.0,21728,1,Yes,22,3.0,4,0,4,2.0,2,14.0,1.6666666666666667
305,24.0,No,Travel_Rarely,1216,Research & Development,15,4,Life Sciences,1,Female,87,3,4,Research Director,3,Married,6020.0,21624,2,Yes,14,3.0,2,0,23,6.0,3,4.0,2
306,46.0,No,Travel_Rarely,135,Research & Development,18,4,Medical,3,Male,62,3,2,Healthcare Representative,2,Married,5562.0,12992,3,Yes,14,3.0,4,2,17,2.0,3,10.0,6.666666666666667
307,40.0,No,Travel_Rarely,829,Research & Development,15,3,Medical,2,Female,71,3,4,Research Director,1,Divorced,2213.0,11929,7,No,14,3.0,4,2,16,3.0,2,7.0,7.666666666666667
308,50.0,No,Travel_Frequently,523,Research & Development,2,3,Life Sciences,3,Female,98,3,2,Research Scientist,4,Single,9208.0,22455,1,No,13,3.0,3,0,9,3.0,3,2.0,8
309,56.0,No,Travel_Rarely,1082,Research & Development,27,3,Life Sciences,3,Male,83,3,3,Manufacturing Director,1,Married,13402.0,11535,8,No,11,3.0,3,1,18,0.0,3,19.0,2.6666666666666665
310,18.0,No,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,1200.0,5549,1,No,14,3.0,3,0,16,2.0,2,0.0,9
311,35.0,No,Travel_Rarely,105,Research & Development,9,3,Life Sciences,4,Male,87,3,5,Manager,4,Single,9474.52564102564,15302,2,No,13,4.0,3,0,21,2.0,2,10.0,1.3333333333333333
312,33.0,No,Travel_Rarely,979,Sales,15,2,Marketing,3,Female,94,2,3,Sales Executive,1,Divorced,6949.0,3088,2,No,11,3.0,1,1,12,2.0,3,5.0,5
313,27.0,No,Non-Travel,470,Research & Development,2,4,Life Sciences,4,Male,84,2,2,Manufacturing Director,1,Married,6349.0,23687,6,No,13,3.0,2,1,13,0.0,3,5.0,7.666666666666667
314,36.0,No,Travel_Rarely,1232,Research & Development,7,4,Medical,3,Female,39,3,3,Manufacturing Director,4,Single,4689.757785467128,25713,1,Yes,14,4.0,3,0,11,2.0,2,1.0,7.666666666666667
315,43.0,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Male,60,3,3,Research Director,3,Married,7847.0,24001,9,No,12,3.0,1,1,16,3.0,1,10.0,2
316,28.0,Yes,Travel_Rarely,1254,Sales,10,3,Life Sciences,3,Female,64,3,3,Sales Executive,2,Married,3660.0,14011,5,No,21,3.0,3,3,14,4.0,3,8.0,4.666666666666667
317,40.0,No,Travel_Rarely,395,Sales,9,3,Marketing,2,Male,98,2,1,Sales Representative,2,Married,5473.0,12102,0,No,19,3.0,4,1,3,5.0,3,8.0,1.6666666666666667
318,31.0,No,Travel_Rarely,1083,Research & Development,29,1,Life Sciences,3,Female,96,1,2,Manufacturing Director,2,Married,2109.0,3173,1,No,14,3.0,2,2,8,3.0,2,3.0,4.666666666666667
319,49.0,Yes,Travel_Rarely,436,Sales,2,1,Medical,3,Female,37,3,2,Sales Executive,4,Single,16413.0,21519,4,No,16,3.0,3,0,12,2.0,2,4.0,5.666666666666667
320,35.0,No,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Male,81,4,1,Laboratory Technician,1,Married,3407.0,9964,4,Yes,20,3.0,1,3,12,2.0,2,10.0,0
321,41.0,Yes,Travel_Rarely,383,Sales,9,2,Life Sciences,1,Male,68,2,1,Sales Representative,1,Married,4766.0,15182,3,No,12,3.0,1,0,6,2.0,3,1.0,2
322,37.2520325203252,No,Travel_Rarely,1225,Sales,2,4,Life Sciences,2,Female,47,4,4,Manager,2,Divorced,7861.0,21086,6,No,14,3.0,3,3,29,4.0,3,1.0,1.6666666666666667
323,36.0,No,Travel_Frequently,206,Human Resources,8,4,Life Sciences,4,Male,99,3,5,Manager,2,Single,5562.0,4022,6,No,14,3.0,1,0,36,3.0,3,3.0,5.666666666666667
324,36.0,Yes,Travel_Rarely,306,Sales,26,4,Life Sciences,1,Male,100,3,2,Sales Executive,1,Married,2741.0,5630,2,No,14,3.0,4,2,5,4.0,3,7.0,0.3333333333333333
325,39.0,No,Travel_Rarely,1108,Research & Development,15,4,Other,3,Male,65,3,1,Research Scientist,1,Married,13464.0,16530,8,No,12,4.0,4,1,10,2.0,2,4.0,5
326,43.0,No,Travel_Rarely,1343,Research & Development,27,1,Medical,3,Female,53,2,1,Research Scientist,1,Single,2645.0,17852,1,No,11,3.0,4,0,6,2.0,2,5.0,2.3333333333333335
327,49.0,Yes,Travel_Frequently,202,Research & Development,8,3,Life Sciences,1,Male,34,2,1,Research Scientist,2,Single,19161.0,22262,1,No,12,3.0,3,0,1,3.0,4,5.0,0
328,31.0,No,Travel_Rarely,1271,Research & Development,2,1,Medical,2,Female,35,3,1,Research Scientist,4,Single,6812.0,9068,5,Yes,14,3.0,4,0,8,2.0,3,10.0,1.6666666666666667
329,33.0,Yes,Non-Travel,1420,Sales,2,1,Marketing,3,Female,85,3,1,Sales Representative,1,Divorced,2342.0,16346,0,No,11,3.0,2,1,5,2.0,3,2.0,1.6666666666666667
330,41.0,No,Travel_Rarely,1296,Research & Development,6,3,Life Sciences,3,Female,30,3,2,Healthcare Representative,4,Divorced,3376.0,5335,3,No,23,3.0,3,1,15,2.0,1,10.0,7.333333333333333
331,43.03474903474904,No,Travel_Rarely,636,Research & Development,10,4,Life Sciences,3,Male,35,3,5,Research Director,1,Single,10793.0,25594,9,Yes,11,3.0,4,0,22,5.0,3,13.0,1.6666666666666667
332,50.0,No,Travel_Rarely,608,Research & Development,1,2,Life Sciences,3,Male,68,3,3,Manufacturing Director,1,Married,19144.0,6009,1,No,11,3.0,4,0,9,4.0,3,10.0,4.666666666666667
333,34.0,No,Non-Travel,1309,Sales,4,1,Medical,2,Male,99,3,2,Sales Representative,3,Single,4568.0,25751,3,No,19,4.0,1,0,5,2.0,3,9.0,0
334,32.368,No,Travel_Rarely,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,1081.0,14115,1,No,22,3.0,4,1,22,3.0,2,1.0,8.333333333333334
335,55.0,Yes,Travel_Rarely,621,Research & Development,15,3,Medical,1,Male,73,3,3,Healthcare Representative,4,Married,10239.0,14075,1,No,11,3.0,4,1,10,4.0,3,1.0,4
336,60.0,No,Travel_Rarely,702,Research & Development,16,4,Life Sciences,3,Female,100,2,1,Research Scientist,4,Single,9474.52564102564,8306,1,No,16,3.0,3,0,6,5.0,3,29.0,2
337,45.0,No,Travel_Rarely,589,Research & Development,28,4,Life Sciences,2,Female,79,3,2,Laboratory Technician,3,Married,18824.0,22949,1,Yes,12,3.0,2,1,15,2.0,3,24.0,8.666666666666666
338,27.0,Yes,Travel_Rarely,419,Sales,21,3,Other,4,Male,37,2,1,Sales Representative,2,Single,6516.717073170733,9947,1,Yes,13,3.0,2,0,1,5.0,4,7.0,0
339,41.0,No,Non-Travel,1413,Research & Development,5,2,Technical Degree,3,Female,84,4,1,Laboratory Technician,3,Single,6811.0,25470,0,No,14,3.0,1,0,7,3.0,1,8.0,3
340,26.0,No,Travel_Rarely,1069,Research & Development,1,3,Life Sciences,2,Female,42,2,2,Healthcare Representative,4,Single,6516.717073170733,12291,0,No,14,4.0,1,0,6,2.0,3,8.0,1.6666666666666667
341,32.368,No,Travel_Rarely,1276,Sales,2,5,Life Sciences,2,Male,91,3,4,Manager,1,Married,2632.0,5626,7,No,16,3.0,2,1,22,2.0,3,5.0,11.666666666666666
342,43.0,No,Travel_Rarely,311,Research & Development,7,3,Life Sciences,1,Male,77,3,1,Laboratory Technician,2,Single,19740.0,10950,2,No,11,3.0,3,0,15,2.0,3,8.0,2.3333333333333335
343,29.0,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2362.0,3020,2,Yes,16,3.0,1,1,6,2.0,2,9.0,0.6666666666666666
344,29.0,No,Travel_Frequently,1283,Sales,1,3,Medical,3,Male,52,2,2,Sales Executive,1,Single,2720.0,11148,1,No,12,3.0,2,0,7,5.0,3,10.0,4.666666666666667
345,40.0,No,Travel_Rarely,946,Research & Development,2,3,Medical,3,Male,52,2,2,Manufacturing Director,4,Single,3319.0,20234,5,Yes,24,3.0,2,0,12,2.0,2,9.0,0
346,35.0,No,Non-Travel,153,Research & Development,8,2,Life Sciences,2,Male,73,4,3,Research Director,1,Married,9884.0,17802,0,Yes,12,3.0,3,3,9,3.0,2,4.0,5
347,35.906122448979595,No,Travel_Rarely,884,Sales,1,4,Life Sciences,2,Female,73,3,2,Sales Executive,3,Single,4689.757785467128,21447,6,No,13,3.0,1,0,15,2.0,3,1.0,0
348,54.0,No,Travel_Rarely,467,Sales,7,3,Life Sciences,3,Male,55,3,2,Sales Executive,1,Single,10725.0,11827,0,No,14,3.0,4,0,5,1.0,3,9.0,2
349,39.0,Yes,Travel_Rarely,529,Research & Development,2,4,Life Sciences,1,Male,79,3,1,Laboratory Technician,3,Single,4553.0,14935,2,No,11,3.0,3,0,5,4.0,1,20.0,0
350,39.0,No,Travel_Rarely,1469,Research & Development,9,4,Medical,4,Male,35,3,1,Research Scientist,2,Divorced,6120.0,25063,8,Yes,14,3.0,4,1,3,2.0,3,5.0,0.3333333333333333
351,32.368,Yes,Travel_Frequently,1372,Sales,9,3,Marketing,1,Female,85,1,2,Sales Executive,3,Single,2973.0,9489,8,No,13,3.0,2,0,7,2.0,2,5.0,2.3333333333333335
352,28.0,No,Travel_Rarely,570,Research & Development,8,3,Life Sciences,2,Male,66,3,5,Manager,4,Divorced,1563.0,16225,1,No,13,3.0,2,1,24,2.0,2,1.0,10
353,34.0,No,Travel_Frequently,157,Research & Development,10,3,Medical,3,Male,77,3,2,Manufacturing Director,1,Single,6516.717073170733,25198,6,Yes,19,3.0,4,0,9,3.0,3,7.0,2.3333333333333335
354,45.0,No,Travel_Rarely,581,Research & Development,1,2,Life Sciences,4,Male,63,3,1,Research Scientist,3,Single,9380.0,17624,0,No,12,3.0,4,0,4,4.0,4,3.0,1.6666666666666667
355,24.0,Yes,Travel_Frequently,607,Research & Development,2,5,Technical Degree,3,Male,78,2,3,Manufacturing Director,4,Married,2145.0,14618,0,No,16,3.0,2,1,34,2.0,3,5.0,5.666666666666667
356,41.0,Yes,Travel_Frequently,337,Research & Development,14,1,Other,3,Male,84,3,3,Healthcare Representative,4,Single,19419.0,22930,0,Yes,12,3.0,1,0,9,2.0,3,18.0,7
357,27.0,No,Travel_Rarely,670,Research & Development,10,4,Medical,1,Female,51,3,2,Healthcare Representative,3,Single,3517.0,4223,3,Yes,16,3.0,3,0,10,2.0,3,3.0,2
358,28.0,No,Travel_Rarely,636,Research & Development,4,4,Other,4,Male,47,2,1,Laboratory Technician,4,Married,4382.0,26537,1,No,13,3.0,2,1,2,2.0,4,2.0,2
359,29.0,No,Non-Travel,589,Research & Development,14,2,Life Sciences,2,Male,94,3,4,Research Director,1,Married,4649.0,5200,6,No,24,3.0,3,1,22,3.0,3,4.0,0.6666666666666666
360,52.0,No,Travel_Rarely,301,Research & Development,22,4,Other,1,Female,72,3,4,Research Director,2,Married,19845.0,3498,3,No,16,3.0,2,2,27,2.0,3,32.0,1.6666666666666667
361,44.0,Yes,Travel_Rarely,523,Research & Development,2,3,Life Sciences,2,Female,94,3,1,Laboratory Technician,4,Married,4689.757785467128,21081,6,Yes,13,3.0,3,1,7,1.0,1,2.0,2
362,27.0,No,Travel_Rarely,177,Research & Development,8,1,Medical,4,Male,37,2,4,Healthcare Representative,2,Divorced,2539.0,25592,1,Yes,15,3.0,4,1,34,0.0,3,4.0,8
363,55.0,No,Travel_Rarely,571,Research & Development,10,1,Life Sciences,4,Male,82,3,1,Research Scientist,1,Divorced,5160.0,19905,0,Yes,13,3.0,2,2,6,3.0,2,9.0,3.3333333333333335
364,29.0,No,Travel_Rarely,408,Research & Development,2,4,Technical Degree,4,Female,80,2,2,Healthcare Representative,3,Single,2800.0,20978,1,No,11,3.0,1,0,20,3.0,3,3.0,9.333333333333334
365,52.0,No,Travel_Rarely,661,Research & Development,1,4,Medical,1,Female,60,2,4,Manufacturing Director,3,Married,13247.0,22308,4,Yes,20,3.0,4,3,27,2.0,2,5.0,1.3333333333333333
366,53.0,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Female,99,2,2,Healthcare Representative,4,Married,10934.0,15830,1,No,19,3.0,1,3,11,2.0,3,5.0,9.333333333333334
367,37.2520325203252,No,Travel_Rarely,1256,Research & Development,19,1,Medical,3,Male,80,3,1,Research Scientist,4,Married,6516.717073170733,11992,1,No,24,4.0,1,2,2,3.0,3,7.0,2
368,38.0,No,Travel_Rarely,691,Research & Development,5,4,Technical Degree,3,Female,86,3,1,Research Scientist,4,Married,6516.717073170733,10077,0,Yes,12,3.0,3,1,6,4.0,3,9.0,1.6666666666666667
369,30.0,Yes,Travel_Rarely,933,Research & Development,19,3,Medical,3,Male,57,4,1,Research Scientist,3,Divorced,9474.52564102564,20366,6,Yes,12,3.0,4,0,7,2.0,3,10.0,2
370,37.2520325203252,Yes,Travel_Frequently,890,Research & Development,2,4,Medical,3,Male,46,3,1,Research Scientist,3,Single,5968.0,16374,6,No,17,4.0,4,0,5,2.0,2,9.0,1.6666666666666667
371,51.0,No,Travel_Rarely,135,Research & Development,19,3,Medical,3,Female,46,3,2,Laboratory Technician,2,Divorced,13116.0,22534,4,No,13,3.0,3,2,15,2.0,4,2.0,7.666666666666667
372,24.0,No,Non-Travel,458,Research & Development,16,2,Life Sciences,3,Male,74,3,1,Research Scientist,3,Divorced,2694.0,8532,9,No,16,3.0,2,1,6,4.0,3,1.0,0.6666666666666666
373,28.0,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,4936.0,4306,5,Yes,11,3.0,3,0,6,6.0,3,5.0,1.6666666666666667
374,42.0,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,2,Male,83,3,2,Sales Executive,3,Single,4841.0,19558,0,No,11,3.0,2,0,6,3.0,3,1.0,4
375,54.0,No,Travel_Rarely,474,Research & Development,3,3,Life Sciences,1,Female,89,3,1,Research Scientist,4,Married,17328.0,11133,1,No,21,3.0,1,0,1,3.0,3,5.0,0
376,39.0,No,Travel_Rarely,685,Research & Development,1,3,Life Sciences,1,Female,62,3,2,Manufacturing Director,3,Married,6389.0,7505,0,No,12,3.0,4,2,5,3.0,3,8.0,1.6666666666666667
377,37.2520325203252,No,Travel_Rarely,906,Sales,7,3,Life Sciences,4,Female,91,2,2,Sales Executive,3,Married,6516.717073170733,16985,1,No,14,3.0,3,1,13,3.0,2,9.0,6.666666666666667
378,31.0,No,Non-Travel,723,Sales,2,4,Marketing,2,Female,77,1,2,Sales Representative,4,Married,9852.0,4244,2,Yes,20,3.0,1,2,20,5.0,2,10.0,1.6666666666666667
379,31.0,Yes,Travel_Frequently,426,Human Resources,17,4,Life Sciences,2,Male,58,3,1,Human Resources,3,Divorced,2791.0,22808,0,Yes,11,3.0,2,1,8,4.0,2,2.0,2.6666666666666665
380,29.0,No,Travel_Rarely,1217,Research & Development,1,3,Medical,3,Female,67,3,1,Research Scientist,1,Married,6020.0,12719,1,No,25,3.0,3,1,3,3.0,3,5.0,1.6666666666666667
381,37.0,Yes,Travel_Rarely,289,Research & Development,2,3,Technical Degree,4,Female,51,3,1,Research Scientist,3,Single,7491.0,26227,4,No,24,3.0,1,0,7,3.0,3,6.0,0
382,57.0,Yes,Travel_Rarely,878,Sales,1,4,Life Sciences,2,Male,94,3,2,Sales Executive,3,Divorced,4900.0,14255,7,No,12,4.0,4,2,12,2.0,3,12.0,1.3333333333333333
383,34.0,No,Travel_Rarely,835,Research & Development,19,4,Other,4,Male,41,3,2,Research Scientist,4,Divorced,2308.0,5141,8,No,14,4.0,2,3,7,4.0,3,11.0,2
384,37.2520325203252,No,Travel_Rarely,117,Research & Development,9,3,Medical,1,Male,60,3,1,Research Scientist,4,Married,6020.0,6311,0,No,13,4.0,2,1,15,3.0,3,5.0,8
385,46.0,No,Travel_Rarely,1112,Sales,5,4,Life Sciences,1,Female,67,3,2,Sales Executive,4,Married,9071.0,22589,1,No,11,3.0,1,2,10,3.0,3,3.0,0.6666666666666666
386,34.0,No,Travel_Rarely,200,Research & Development,18,2,Life Sciences,3,Male,60,3,3,Manufacturing Director,4,Single,5337.0,19944,2,No,11,3.0,3,0,10,3.0,3,10.0,2
387,32.368,Yes,Travel_Rarely,1146,Sales,8,3,Technical Degree,4,Male,38,2,2,Sales Executive,1,Single,3424.0,3064,6,No,17,3.0,3,0,6,3.0,2,4.0,2
388,58.0,No,Travel_Rarely,1157,Research & Development,17,3,Technical Degree,3,Female,51,3,1,Research Scientist,2,Married,10312.0,13364,0,Yes,16,3.0,4,1,6,2.0,2,40.0,1.3333333333333333
389,41.0,No,Travel_Rarely,896,Research & Development,2,3,Medical,3,Male,68,3,1,Research Scientist,3,Divorced,6516.717073170733,8045,2,No,14,3.0,3,1,8,2.0,4,9.0,1.3333333333333333
390,21.0,No,Travel_Rarely,1055,Research & Development,1,3,Medical,4,Female,76,3,5,Research Director,1,Married,2716.0,22456,3,Yes,21,3.0,3,1,32,0.0,3,1.0,4.666666666666667
391,40.0,No,Travel_Rarely,805,Research & Development,4,2,Life Sciences,3,Male,57,3,2,Laboratory Technician,2,Married,2387.0,23163,1,No,12,4.0,2,0,9,3.0,2,4.0,5
392,26.0,No,Non-Travel,727,Research & Development,3,3,Life Sciences,3,Male,41,2,1,Laboratory Technician,3,Married,2570.0,16900,1,No,18,4.0,3,2,1,5.0,3,7.0,0
393,37.2520325203252,No,Travel_Frequently,1495,Research & Development,10,3,Medical,3,Female,76,3,2,Healthcare Representative,3,Married,5257.0,22174,3,No,19,3.0,3,1,18,3.0,3,9.0,0
394,45.0,No,Non-Travel,1368,Research & Development,28,4,Technical Degree,4,Male,88,2,2,Healthcare Representative,4,Married,4447.0,4386,0,No,11,3.0,4,3,7,5.0,4,9.0,3
395,32.368,No,Travel_Rarely,1029,Research & Development,16,3,Life Sciences,4,Male,91,2,3,Healthcare Representative,2,Single,2660.0,21195,1,No,19,3.0,4,0,11,2.0,1,2.0,4.666666666666667
396,18.0,No,Non-Travel,895,Research & Development,15,2,Life Sciences,1,Male,50,3,1,Laboratory Technician,3,Divorced,1904.0,22482,1,No,16,3.0,4,1,4,0.0,2,0.0,2
397,35.906122448979595,Yes,Travel_Rarely,906,Research & Development,5,2,Life Sciences,1,Male,95,2,1,Research Scientist,1,Divorced,4689.757785467128,20293,6,No,17,3.0,1,1,5,2.0,1,0.0,0
398,48.0,No,Travel_Rarely,509,Research & Development,2,4,Other,1,Female,62,2,2,Healthcare Representative,3,Single,12504.0,2112,2,Yes,17,4.0,1,0,10,3.0,3,0.0,4.666666666666667
399,26.0,Yes,Travel_Rarely,602,Sales,1,1,Technical Degree,3,Male,100,1,1,Sales Representative,1,Single,2061.0,20989,0,No,21,4.0,1,0,1,5.0,4,1.0,0
400,26.0,Yes,Travel_Rarely,1097,Research & Development,10,4,Life Sciences,3,Male,96,3,1,Research Scientist,3,Single,2293.0,10826,1,Yes,11,3.0,3,0,6,2.0,3,1.0,2
401,43.03474903474904,No,Travel_Frequently,672,Research & Development,7,2,Medical,3,Male,54,2,5,Manager,4,Married,14411.0,21141,1,No,15,3.0,1,1,21,2.0,3,5.0,8.333333333333334
402,53.0,No,Travel_Rarely,492,Research & Development,12,3,Medical,4,Female,66,3,2,Manufacturing Director,2,Married,19094.0,7693,4,No,21,3.0,3,0,7,3.0,3,14.0,1.6666666666666667
403,27.0,No,Travel_Rarely,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5769.0,3193,2,No,19,3.0,1,2,10,3.0,3,6.0,2.3333333333333335
404,27.0,No,Travel_Frequently,343,Research & Development,15,2,Life Sciences,3,Male,92,2,3,Research Director,4,Divorced,2580.0,15682,0,Yes,14,3.0,2,1,12,2.0,3,4.0,7
405,33.0,No,Travel_Rarely,1480,Sales,4,3,Life Sciences,3,Male,64,3,3,Sales Executive,4,Married,5487.0,24444,2,Yes,13,3.0,4,3,9,2.0,3,10.0,1.3333333333333333
406,44.0,Yes,Travel_Rarely,1033,Research & Development,9,3,Medical,1,Male,41,3,1,Laboratory Technician,1,Single,4689.757785467128,10224,7,No,22,3.0,1,0,10,5.0,4,2.0,2.6666666666666665
407,32.368,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,4,Female,40,3,3,Healthcare Representative,4,Married,3291.0,18611,2,Yes,14,3.0,3,1,24,2.0,1,7.0,10
408,53.0,No,Travel_Rarely,541,Sales,3,4,Medical,1,Female,48,2,3,Sales Executive,4,Married,10169.0,7246,4,No,11,3.0,1,1,16,2.0,3,33.0,7.333333333333333
409,26.0,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,5828.0,21777,0,Yes,17,3.0,1,1,2,0.0,2,8.0,0
410,50.0,No,Travel_Rarely,590,Research & Development,4,3,Technical Degree,4,Male,91,2,1,Research Scientist,1,Divorced,3221.0,10007,1,No,13,3.0,3,1,1,3.0,3,20.0,0
411,30.0,No,Travel_Rarely,1079,Sales,10,2,Medical,3,Female,86,3,2,Sales Executive,4,Divorced,2132.0,20115,2,Yes,11,3.0,4,1,8,2.0,3,5.0,2.3333333333333335
412,41.0,No,Travel_Rarely,746,Sales,2,3,Life Sciences,4,Male,61,3,2,Sales Executive,3,Married,6032.0,16928,1,No,14,3.0,1,1,4,3.0,2,5.0,1.6666666666666667
413,35.906122448979595,No,Travel_Rarely,1265,Research & Development,3,3,Life Sciences,3,Male,95,4,2,Laboratory Technician,4,Married,5021.0,23726,2,Yes,13,4.0,2,1,17,2.0,2,4.0,2.3333333333333335
414,55.0,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,3,Male,49,3,1,Sales Representative,3,Single,4035.0,24444,1,No,11,3.0,3,0,3,2.0,3,3.0,1.6666666666666667
415,23.0,No,Travel_Rarely,1050,Sales,9,4,Life Sciences,2,Male,65,2,2,Sales Executive,3,Married,2500.0,17970,1,No,13,3.0,4,1,15,2.0,3,4.0,8.666666666666666
416,26.0,No,Non-Travel,691,Research & Development,2,3,Medical,3,Male,64,3,4,Research Director,3,Married,4969.0,6881,5,No,16,3.0,4,0,30,6.0,3,2.0,2
417,49.0,No,Travel_Rarely,722,Sales,24,1,Marketing,2,Female,60,2,4,Sales Executive,4,Married,6567.0,8828,0,No,11,3.0,1,1,21,2.0,2,15.0,8
418,32.368,No,Travel_Frequently,208,Research & Development,8,4,Life Sciences,3,Female,52,3,2,Healthcare Representative,3,Married,2157.0,12250,1,No,12,3.0,4,1,15,5.0,3,3.0,7.333333333333333
419,32.0,No,Non-Travel,793,Sales,2,1,Life Sciences,4,Female,43,1,2,Sales Executive,4,Single,2332.0,20392,3,No,20,4.0,2,0,8,3.0,3,3.0,0.6666666666666666
420,44.0,No,Travel_Rarely,1313,Research & Development,7,3,Medical,2,Male,31,3,5,Research Director,4,Divorced,5933.0,3549,0,Yes,14,3.0,4,1,23,2.0,2,5.0,6
421,38.0,No,Travel_Rarely,1463,Research & Development,23,3,Medical,2,Male,64,2,2,Healthcare Representative,4,Married,4855.0,14408,0,No,21,3.0,2,1,10,2.0,3,5.0,5
422,58.0,No,Travel_Rarely,1358,Sales,16,1,Life Sciences,4,Male,96,3,2,Sales Executive,3,Married,2372.0,2939,8,No,15,3.0,3,2,4,3.0,2,2.0,1.6666666666666667
423,29.0,No,Travel_Rarely,1041,Human Resources,13,3,Human Resources,3,Male,36,3,1,Human Resources,2,Married,2642.0,25527,4,No,13,3.0,2,1,8,6.0,3,1.0,2
424,38.0,No,Travel_Rarely,1094,Sales,28,3,Other,3,Male,58,1,3,Sales Executive,1,Divorced,4689.757785467128,11373,3,No,15,3.0,3,1,20,2.0,3,1.0,0.3333333333333333
